Player,Position,Team,TotalMoney,YearlySalary
Jimmy Hall,S,Raiders,1.595,0.532
Alani Fua,34OLB,Cardinals,1.592,0.531
David Andrews,C,Patriots,1.59,0.53
Dean Marlowe,S,Panthers,1.59,0.53
Chris Harper,WR,Patriots,1.59,0.53
Arthur Miley,43DE,Panthers,1.59,0.53
Thomas Rawls,RB,Seahawks,1.59,0.53
A.J. Francis,DT,Dolphins,0.53,0.53
Jacquian Williams,43OLB,Giants,2.119,0.53
Thurston Armbrister,43OLB,Jaguars,1.588,0.529
Delvin Breaux,CB,Saints,1.587,0.529
Curtis Riley,CB,Titans,1.587,0.529
Caushaud Lyons,43DE,Steelers,1.585,0.528
Justin March,34OLB,Chiefs,1.585,0.528
Keenan Lambert,S,Raiders,1.585,0.528
Taylor Heinicke,QB,Vikings,1.585,0.528
Gabe Holmes,TE,Raiders,1.585,0.528
Kaleb Eulls,34DE,Saints,1.585,0.528
Zach Vigil,43OLB,Dolphins,1.585,0.528
Lucky Whitehead,WR,Cowboys,1.585,0.528
Julian Wilson,CB,Ravens,1.584,0.528
Nick Easton,C,49ers,1.584,0.528
Xavier Williams,34DT,Cardinals,1.583,0.528
jarryd Hayne,RB,49ers,1.583,0.528
Zack Wagenmann,34OLB,Cardinals,1.583,0.528
Junior Sylvestre,ILB,Colts,1.583,0.528
Tyson Chandler,RT,Bills,1.583,0.528
A.J. Tarpley,43OLB,Bills,1.583,0.528
Gavin Lutman,WR,Vikings,1.583,0.528
Tavaris Barnes,34DE,Saints,1.583,0.528
Brock Hekking,34OLB,Chargers,1.583,0.528
Darrell Williams,LT,Rams,1.583,0.528
Kyle Brindza,K,Buccaneers,1.583,0.528
Bryce Callahan,CB,Bears,1.583,0.528
Cody Riggs,CB,Titans,1.582,0.527
Brian Parker,TE,Chiefs,1.582,0.527
DeAndrew White,WR,49ers,1.582,0.527
Bradley Marquez,WR,Rams,1.582,0.527
Gordon Hill,S,Chargers,1.581,0.527
Tyler Varga,RB,Colts,1.581,0.527
Quinton Spain,RG,Titans,1.581,0.527
Greg Mancz,C,Texans,1.581,0.527
Dres Anderson,WR,49ers,1.581,0.527
Cameron Meredith,WR,Bears,1.581,0.527
John Timu,ILB,Bears,1.58,0.527
Mike McFarland,T,Texans,1.58,0.527
Mitchell Henry,TE,Broncos,1.58,0.527
Cameron Clear,TE,Steelers,1.58,0.527
Nick Dzubnar,ILB,Chargers,1.58,0.527
Eli Rogers,WR,Steelers,1.58,0.527
Nick Marshall,CB,Jaguars,1.58,0.527
Zach Zenner,RB,Lions,1.58,0.527
Jermauria Rasco,34OLB,Packers,1.58,0.527
B.J. McBryde,34DT,Eagles,1.58,0.527
Anthony Jefferson,S,Bears,1.58,0.527
Corey Grant,RB,Jaguars,1.58,0.527
Bobby Richardson,34DE,Saints,1.58,0.527
Ronald Martin,S,Jets,1.58,0.527
Ladarius Gunter,CB,Packers,1.58,0.527
Chad Slade,LG,Texans,1.58,0.527
Josh Lambo,K,Chargers,1.58,0.527
Jerome Couplin,S,Eagles,1.58,0.527
Tyler Murphy,QB,Steelers,1.58,0.527
Javess Blue,WR,Packers,1.579,0.526
Chi Chi Ariguzo,ILB,Chargers,1.579,0.526
Tyrell Williams,WR,Chargers,1.579,0.526
Alonzo Harris,RB,Packers,1.579,0.526
Ben Beckwith,RG,Chargers,1.578,0.526
Jack Tabb,TE,Saints,1.578,0.526
Brandon Wegher,RB,Panthers,1.578,0.526
Ray Hamilton,TE,Steelers,1.578,0.526
Carlos Thompson,34OLB,Texans,1.578,0.526
Cam Worthy,WR,Ravens,1.578,0.526
Cameron Lynch,43OLB,Rams,1.577,0.526
Josh Mitchell,CB,Colts,1.577,0.526
Kendall Lamm,LT,Texans,1.577,0.526
Cam Thomas,CB,Bills,1.577,0.526
Khari Lee,TE,Bears,1.577,0.526
Micah Hatchie,RT,Steelers,1.576,0.525
Matt Darr,P,Dolphins,1.576,0.525
Neville Hewitt,43OLB,Dolphins,1.576,0.525
Reggie Bell,WR,Redskins,1.576,0.525
Isiah Ferguson,WR,Rams,1.576,0.525
Kevin Snyder,ILB,Lions,1.576,0.525
Connor Neighbors,FB,Titans,1.576,0.525
Damond Powell,WR,Cardinals,1.576,0.525
Tank Carder,ILB,Browns,2.1,0.525
Leon Brown,WR,Ravens,1.575,0.525
Wade Keliikipi,DT,Eagles,1.575,0.525
Brandon Person,S,Cardinals,1.575,0.525
Harold Jones-Quartey,S,Bears,1.575,0.525
Denzel Rice,CB,Eagles,1.575,0.525
Adam Humphries,WR,Buccaneers,1.575,0.525
Uani Unga,LB,Giants,1.575,0.525
Terron Ward,RB,Falcons,1.575,0.525
Brent Qvale,T,Jets,1.575,0.525
T.Y. McGill,43DT,Colts,1.575,0.525
Reshod Fortenberry,LT,Cowboys,1.575,0.525
Daniel Brown,G,Ravens,1.575,0.525
E.J. Bibbs,TE,Browns,1.575,0.525
Jordan Berry,P,Steelers,1.575,0.525
Jason Myers,K,Jaguars,1.575,0.525
Josh Andrews,OL,Eagles,1.575,0.525
Beau Gardner,TE,Falcons,1.575,0.525
Andrew Franks,K,Dolphins,1.575,0.525
Arthur Williams,WR,Jets,1.575,0.525
Robenson Therezie,S,Falcons,1.575,0.525
Brett Jones,RT,Giants,1.575,0.525
Luke Lundy,RB,Browns,1.575,0.525
Phillip Dillard,LB,Chargers,1.05,0.525
Andre Smith,TE,Browns,1.05,0.525
Kory Sheets,RB,Raiders,0.525,0.525
Ryan Hewitt,TE,Bengals,1.54,0.52
Ethan Westbrooks,DT,Rams,1.55,0.517
Cornelius Lucas,T,Lions,1.55,0.517
Kenneth Boatright,43DE,Cowboys,1.548,0.516
Corey Brown,WR,Panthers,1.545,0.515
Marcus Roberson,CB,Rams,1.545,0.515
Tenny Palepoi,34DE,Chargers,1.543,0.514
Garry Gilliam,T,Seahawks,1.542,0.514
Andrew Norwell,G,Panthers,1.542,0.514
Albert Wilson,WR,Chiefs,1.54,0.513
Isaiah Crowell,RB,Browns,1.54,0.513
Gabe Ikard,C,Bills,1.54,0.513
Silas Redd,RB,Redskins,1.538,0.513
Trey Burton,WR,Eagles,1.538,0.513
Jonotthan Harrison,C,Colts,1.538,0.513
Christian Jones,LB,Bears,1.537,0.512
L.J. McCray,S,49ers,1.536,0.512
Trey Watts,RB,Rams,1.536,0.512
Zach Kerr,43DT,Colts,1.536,0.512
Chris Davis,CB,Chargers,1.536,0.512
Jay Elliot,LB,Packers,1.535,0.512
Tyler Shatley,G,Jaguars,1.535,0.512
Allen Hurns,WR,Jaguars,1.535,0.512
Damian Copeland,WR,Jaguars,1.535,0.512
Chris Whaley,43DT,Cowboys,1.535,0.512
Damien Williams,RB,Dolphins,1.534,0.512
James Stone,C,Falcons,1.534,0.511
Juwan Thompson,RB,Broncos,1.534,0.511
Mike Pennel,34DT,Packers,1.534,0.511
Brock Coyle,LB,Seahawks,1.533,0.511
Josh Wells,T,Jaguars,1.533,0.511
Kenny Anunike,DE,Broncos,1.533,0.511
Cairo Santos,K,Chiefs,1.532,0.511
Chandler Catanzaro,K,Cardinals,1.532,0.511
Jake Stoneburner,TE,Dolphins,5.1,0.51
Brian Dixon,CB,Saints,1.53,0.51
Senorise Perry,RB,Bears,1.53,0.51
Austin Wentworth,G,Vikings,1.53,0.51
Patrick Murray,K,Buccaneers,1.53,0.51
Jeremiah Sirles,T,Vikings,1.53,0.51
Jumal Rolle,CB,Texans,1.53,0.51
Brennan Clay,RB,Broncos,1.53,0.51
Cody Parkey,K,Eagles,1.53,0.51
K\’Waun Williams,CB,Browns,1.53,0.51
Mike Purcell,34DT,49ers,1.53,0.51
Stephen Morris,QB,Eagles,1.53,0.51
Glenn Winston,RB,Browns,1.53,0.51
David Fales,QB,Bears,1.53,0.51
Tyler Patmon,CB,Cowboys,1.53,0.51
Jackson Jeffcoat,43DE,Redskins,1.53,0.51
Anthony Denham,TE,Texans,1.53,0.51
T.J. Barnes,DT,Jets,1.53,0.51
Marcus Williams,CB,Jets,1.53,0.51
Charley Hughlett,LS,Browns,1.53,0.51
Branden Oliver,RB,Chargers,1.53,0.51
Taylor Gabriel,WR,Browns,1.53,0.51
Chris McCain,LB,Dolphins,1.53,0.51
Malcolm Butler,CB,Patriots,1.53,0.51
Kasim Edebali,LB,Saints,1.53,0.51
Travis Long,LB,Eagles,1.53,0.51
Zachary Orr,LB,Ravens,1.53,0.51
Connor Shaw,QB,Browns,1.53,0.51
Charles Johnson,WR,Vikings,1.53,0.51
Kerry Wynn,DE,Giants,1.53,0.51
James Hurst,T,Ravens,1.53,0.51
Bront Bird,LB,Chargers,1.02,0.51
Frankie Hammond,WR,Chiefs,0.51,0.51
Keith Smith,LB,Cowboys,0.51,0.51
Chris Harper,WR,Giants,0.51,0.51
Denico Autry,43DE,Raiders,0.51,0.51
Demetrius Harris,TE,Chiefs,0.51,0.51
Brad Wing,P,Giants,0.51,0.51
Lamin Barrow,ILB,Bears,0.51,0.51
Christopher Hubbard,G,Steelers,0.51,0.51
Ryan Jensen,C,Ravens,0.51,0.51
Dustin Hopkins,K,Redskins,0.51,0.51
IK Enemkpali,34OLB,Bills,0.51,0.51
Kevin Hughes,TE,Patriots,0.51,0.51
Ross Cockrell,CB,Steelers,0.51,0.51
Steven Terrell,S,Seahawks,0.51,0.51
Kenny Wiggins,LT,Chargers,0.51,0.51
John Lotulelei,LB,Jaguars,1.51,0.503
Keshawn Martin,WR,Texans,2.513,0.503
Josh Boyce,WR,Patriots,1.005,0.503
Lerentee McCray,34OLB,Broncos,1.502,0.501
C.J. Anderson,RB,Broncos,1.498,0.499
Zach Sudfeld,TE,Jets,1.497,0.499
Quincy Enunwa,WR,Jets,1.995,0.499
Tony Jefferson,S,Cardinals,1.495,0.498
Timothy Wright,TE,Lions,1.495,0.498
Tyler Bray,QB,Chiefs,1.495,0.498
LaAdrian Waddle,LT,Lions,1.495,0.498
Wes Horton,43DE,Panthers,1.495,0.498
Jaron Brown,WR,Cardinals,1.494,0.498
Russell Shepard,WR,Buccaneers,1.493,0.498
Lane Taylor,G,Packers,1.492,0.497
Alvin Bailey,LT,Seahawks,1.491,0.497
Andy Mulumba,LB,Packers,1.49,0.497
Josh Hill,TE,Saints,1.49,0.497
Benny Cunningham,RB,Rams,1.49,0.497
Jahleel Addae,S,Chargers,1.49,0.497
A.J. Bouye,CB,Texans,1.49,0.497
Marlon Brown,WR,Ravens,1.49,0.497
Joplo Bartu,ILB,Falcons,1.49,0.497
Matt Tobin,LT,Eagles,1.49,0.497
Jack Doyle,TE,Colts,1.49,0.497
MarQueis Gray,FB,Bills,1.489,0.496
D.C. Jefferson,TE,Panthers,0.496,0.496
Justin Tuggle,LB,Texans,1.488,0.496
Carson Tinker,C,Jaguars,1.488,0.496
LaRoy Reynolds,LB,Jaguars,1.488,0.496
Abry Jones,43DT,Jaguars,1.488,0.496
Jeff Heath,CB,Cowboys,1.487,0.496
Ryan Schraeder,LT,Falcons,1.487,0.496
Paul Worrilow,ILB,Falcons,1.487,0.496
Tim Lelito,G,Saints,1.49,0.495
Khiry Robinson,RB,Saints,1.486,0.495
Darryl Morris,CB,Texans,1.485,0.495
Will Compton,ILB,Redskins,1.485,0.495
Cody Davis,S,Rams,1.485,0.495
Daren Bates,S,Rams,1.485,0.495
Brandon Williams,TE,Panthers,1.485,0.495
Matthew McGloin,QB,Raiders,1.485,0.495
Ty Powell,43OLB,Bills,1.485,0.495
Derrick Coleman,RB,Seahawks,1.485,0.495
Stefan Charles,43DT,Bills,1.485,0.495
Benson Mayowa,43DE,Raiders,1.485,0.495
Josh Kline,G,Patriots,1.485,0.495
Ryan Quigley,P,Jets,1.485,0.495
Ray-Ray Armstrong,S,Raiders,1.485,0.495
Patrick Omameh,G,Bears,1.485,0.495
Josh Samuda,C,Vikings,0.495,0.495
A.J. Edds,LB,Jaguars,0.495,0.495
David Gilreath,WR,Seahawks,0.495,0.495
Kenny Demens,ILB,Cardinals,0.98,0.49
Delano Howell,S,Colts,1.44,0.48
Justin Currie,S,Giants,0.96,0.48
Jordan Campbell,LB,Redskins,0.96,0.48
Kourtnei Brown,43DE,Buccaneers,0.96,0.48
James Winchester,LS,Chiefs,0.96,0.48
Earl Okine,34OLB,Colts,0.96,0.48
Willie Snead,WR,Saints,0.96,0.48
Ricky Havili-Heimuli,DT,Falcons,0.96,0.48
Jacob Schum,P,Buccaneers,0.96,0.48
Zac Kerin,C,Vikings,0.96,0.48
James Gayle,DE,Redskins,0.96,0.48
Dion Bailey,S,Seahawks,0.96,0.48
Michael Williams,TE,Patriots,0.96,0.48
Jeremiah Warren,G,Buccaneers,0.96,0.48
Travis Howard,CB,Falcons,0.96,0.48
Shayne Skov,LB,49ers,0.96,0.48
Nikita Whitlock,RB,Giants,0.96,0.48
Drew Nowak,G,Seahawks,0.96,0.48
Alejandro Villanueva,34DE,Steelers,0.96,0.48
Kona Schwenke,43DT,Seahawks,0.96,0.48
Jason Weaver,T,Bears,0.96,0.48
R.J. Dill,T,Cowboys,0.96,0.48
Torrence Allen,WR,Chargers,0.96,0.48
Brandon Coleman,WR,Saints,0.96,0.48
Craig Watts,G,Chargers,0.96,0.48
Shaquil Barrett,34OLB,Broncos,0.96,0.48
John Fullington,LT,Cardinals,0.96,0.48
James Ferentz,C,Broncos,0.96,0.48
Adam Replogle,DT,Falcons,0.96,0.48
Cody Clay,RT,Cowboys,0.96,0.48
Rashad Ross,WR,Redskins,0.96,0.48
Josh Walker,G,Packers,0.96,0.48
John Chiles,WR,Bears,0.96,0.48
Curtis Feigt,T,Chiefs,0.96,0.48
Jordan Thompson,TE,Lions,0.96,0.48
Tim Toone,WR,Saints,0.48,0.48
Cornelius Brown,WR,Chargers,0.48,0.48
Dontrelle Inman,WR,Chargers,0.945,0.473
Scott Lutrus,LB,Colts,1.395,0.465
Jeff Byers,C,Panthers,1.395,0.465
Jordan Devey,T,49ers,0.93,0.465
Nic Jacobs,TE,Jaguars,0.93,0.465
Carter Bykowski,T,Vikings,0.93,0.465
Chris Matthews,WR,Seahawks,0.93,0.465
Marcus Harris,WR,Giants,0.93,0.465
Marcus Burley,CB,Seahawks,0.93,0.465
Daniel Sorensen,S,Chiefs,0.93,0.465
Sheldon Price,CB,Colts,0.93,0.465
Adam Thielen,WR,Vikings,0.93,0.465
T.J. Fatinikun,43DE,Buccaneers,0.93,0.465
Tress Way,P,Redskins,0.93,0.465
Jerome Cunningham,TE,Giants,0.93,0.465
Nicholas Williams,34DT,Chiefs,0.93,0.465
Ricardo Allen,CB,Falcons,0.93,0.465
T.J. Johnson,C,Bengals,0.93,0.465
Antonio Andrews,RB,Titans,0.93,0.465
Charcandrick West,RB,Chiefs,0.93,0.465
Terrance Mitchell,CB,Bears,0.93,0.465
Ryan Groy,G,Patriots,0.93,0.465
Andrew Depaola,LS,Buccaneers,0.93,0.465
Brandon McManus,K,Broncos,0.93,0.465
Cooper Helfet,TE,Seahawks,0.93,0.465
Austin Johnson,RB,Saints,0.93,0.465
Jeff Adams,T,Texans,0.93,0.465
Orleans Darkwa,RB,Giants,0.93,0.465
Cordarro Law,34DE,Chargers,0.93,0.465
Jacquies Smith,43DE,Buccaneers,0.93,0.465
Darren Fells,TE,Cardinals,0.93,0.465
Jamie Meder,34DE,Browns,0.93,0.465
Bruce Gaston,DT,Packers,0.93,0.465
Lawrence Virgil,34DT,Saints,0.93,0.465
Corey Fuller,WR,Lions,0.93,0.465
Colton Schmidt,P,Bills,0.93,0.465
Mohammed Seisay,CB,Seahawks,0.93,0.465
Jeremiah George,ILB,Buccaneers,0.93,0.465
Matt Hazel,WR,Dolphins,0.93,0.465
Brandon Copeland,43OLB,Lions,0.46,0.46
Bradley McDougald,S,Buccaneers,0.9,0.45
Dan DePalma,WR,Chargers,0.9,0.45
Josh McNary,34OLB,Colts,0.9,0.45
Jonathan Krause,WR,Patriots,0.445,0.445
Seth Roberts,WR,Raiders,0.435,0.435
Matt Paradis,C,Broncos,0.435,0.435
Kelvin Palmer,T,Steelers,0.435,0.435
Jesse Williams,43DT,Seahawks,0.435,0.435
Travis Harvey,WR,Cardinals,0.435,0.435
Travis Coons,K,Browns,0.435,0.435
Raheem Mostert,RB,Dolphins,0.435,0.435
Austin Brown,34DT,Saints,0.435,0.435
Rob Blanchflower,TE,Steelers,0.435,0.435
Justin Coleman,CB,Patriots,0.435,0.435
Davonte Wallace,LT,Panthers,0.435,0.435
Terrence Magee,RB,Ravens,0.435,0.435
Roosevelt Nix,RB,Steelers,0.435,0.435
Zach Hocker,K,Saints,0.435,0.435
Ifeanyi Momah,WR,Cardinals,0.435,0.435
Rufus Johnson,34OLB,Patriots,0.435,0.435
Bennie Fowler,WR,Broncos,0.435,0.435
Zach Thompson,LB,Ravens,0.435,0.435
Bennett Jackson,CB,Giants,0.435,0.435
Mitchell Van Dyk,T,Steelers,0.435,0.435
Adrian Davis,CB,Saints,1.3,0.433
Greg Orton,WR,Patriots,0.42,0.42
Vidal Hazelton,WR,Jets,0.405,0.405
Everrette Thompson,34DE,Cardinals,0.405,0.405
