"Facility.Name","Facility.City","Facility.State","Facility.Type","Rating.Overall","Rating.Mortality","Rating.Safety","Rating.Readmission","Rating.Experience","Rating.Effectiveness","Rating.Timeliness","Rating.Imaging","Procedure.Heart Attack.Cost","Procedure.Heart Attack.Quality","Procedure.Heart Attack.Value","Procedure.Heart Failure.Cost","Procedure.Heart Failure.Quality","Procedure.Heart Failure.Value","Procedure.Pneumonia.Cost","Procedure.Pneumonia.Quality","Procedure.Pneumonia.Value","Procedure.Hip Knee.Cost","Procedure.Hip Knee.Quality","Procedure.Hip Knee.Value"
"Bon Secours-st Francis Xavier Hospital","Charleston","SC","Private","5","Same","Above","Above","Above","Same","Same","Same","0","Unknown","Unknown","16754","Average","Average","18009","Average","Average","0","Unknown","Unknown"
"Lake City Community Hospital","Lake City","SC","Private","2","Same","None","Below","None","Below","Above","Same","0","Unknown","Unknown","15329","Average","Average","14817","Average","Lower","0","Unknown","Unknown"
"Beaufort County Memorial Hospital","Beaufort","SC","Unknown","3","Same","Below","Above","Same","Above","Below","Same","20795","Average","Lower","14020","Average","Lower","15951","Average","Lower","20584","Average","Lower"
"Trmc Of Orangeburg & Calhoun","Orangeburg","SC","Government","1","Same","Below","Below","Below","Same","Below","Same","22565","Average","Average","15165","Average","Lower","17788","Worse","Average","26079","Average","Higher"
"Palmetto Health Tuomey Hospital","Sumter","SC","Private","2","Same","Below","Below","Same","Same","Below","Below","23796","Average","Average","15946","Average","Average","16792","Average","Average","19450","Average","Lower"
"Self Regional Healthcare","Greenwood","SC","Private","4","Same","Above","Above","Same","Below","Same","Same","23692","Average","Average","16233","Average","Average","17646","Average","Average","23054","Average","Higher"
"Hampton Regional Medical Center","Varnville","SC","Private","2","None","None","Below","None","Same","Same","None","0","Unknown","Unknown","14313","Average","Lower","14537","Average","Lower","19083","Average","Lower"
"Lexington Medical Center","West Columbia","SC","Government","3","Same","Below","Above","Above","Same","Below","Above","23373","Average","Average","17938","Average","Higher","17085","Average","Average","22635","Average","Average"
"Ghs Greenville Memorial Hospital","Greenville","SC","Private","3","Same","Below","Above","Same","Below","Below","Same","24740","Average","Average","17517","Average","Higher","19419","Average","Higher","0","Unknown","Unknown"
"Trident Medical Center","Charleston","SC","Proprietary","1","Below","Above","Below","Below","Above","Same","Same","26227","Average","Higher","17148","Worse","Average","17586","Average","Average","22064","Average","Average"
"Hilton Head Regional Medical Center","Hilton Head Island","SC","Proprietary","2","Below","Same","Same","Below","Same","Below","Below","27658","Average","Higher","16857","Average","Average","15251","Average","Lower","19777","Average","Lower"
"Aiken Regional Medical Center","Aiken","SC","Proprietary","2","Same","Below","Above","Below","Same","Same","Same","24550","Average","Average","15754","Average","Average","17701","Average","Average","24097","Worse","Higher"
"Mary Black Health System Spartanburg","Spartanburg","SC","Proprietary","3","Same","Same","Same","Same","Same","Same","Same","23556","Average","Average","17112","Average","Average","17919","Average","Average","25448","Average","Higher"
"Grand Strand Regional Medical Center","Myrtle Beach","SC","Proprietary","3","Same","Above","Below","Below","Above","Above","Above","24848","Average","Average","15352","Better","Lower","17264","Average","Average","20190","Worse","Lower"
"Palmetto Health Baptist","Columbia","SC","Private","3","Same","Same","Same","Same","Same","Below","Above","21336","Average","Average","17181","Average","Average","17011","Average","Average","20314","Average","Lower"
"Roper Hospital","Charleston","SC","Private","5","Same","Above","Above","Above","Same","Above","Same","26486","Average","Higher","17523","Average","Higher","17847","Average","Average","19930","Average","Lower"
"East Cooper Medical Center","Mount Pleasant","SC","Proprietary","4","Same","Below","Above","Above","Same","Above","Same","0","Unknown","Unknown","16887","Average","Average","17120","Average","Average","19232","Average","Lower"
"Carolinas Hospital System","Florence","SC","Proprietary","2","Above","Below","Below","Same","Same","Above","Same","22894","Average","Average","15551","Better","Lower","16710","Average","Average","19707","Average","Lower"
"Tidelands Waccamaw Community Hospital","Murrells Inlet","SC","Private","5","Same","Above","Above","Above","Above","Same","Below","24445","Average","Average","15739","Average","Average","17466","Average","Average","19059","Average","Lower"
"Coastal Carolina Hospital","Hardeeville","SC","Proprietary","3","Same","None","Below","Below","Same","Same","Same","0","Unknown","Unknown","15039","Average","Average","17327","Average","Average","0","Unknown","Unknown"
"Ghs Patewood Memorial Hospital","Greenville","SC","Private","5","None","Above","Above","Above","Same","None","Below","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","18475","Average","Lower"
"Pelham Medical Center","Greer","SC","Government","3","Same","Below","Above","Above","Same","Same","Same","0","Unknown","Unknown","16987","Average","Average","17540","Average","Average","20814","Average","Lower"
"Mount Pleasant Hospital","Mount Pleasant","SC","Private","4","Same","Same","Above","Above","Same","Above","Same","0","Unknown","Unknown","15758","Average","Average","17628","Average","Average","0","Unknown","Unknown"
"Mcleod Loris  Hospital","Loris","SC","Private","4","Same","Same","Above","Above","Same","Above","Above","24674","Average","Average","17390","Average","Average","17487","Average","Average","20145","Average","Lower"
"Palmetto Health Baptist Parkridge","Columbia","SC","Private","4","Same","Same","Above","Above","Same","Below","Above","0","Unknown","Unknown","16595","Average","Average","19753","Better","Higher","17728","Average","Lower"
"Mcleod Health Cheraw","Cheraw","SC","Private","2","Same","Same","Below","Same","Same","Above","Same","0","Unknown","Unknown","15910","Average","Average","17862","Average","Average","0","Unknown","Unknown"
"Union Medical Center","Union","SC","Unknown","3","Same","None","Same","None","Below","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","14960","Average","Lower","0","Unknown","Unknown"
"Mcleod Health Clarendon","Manning","SC","Private","3","Same","None","Above","Same","Same","Above","Same","0","Unknown","Unknown","0","Unknown","Unknown","16573","Average","Average","0","Unknown","Unknown"
"Allendale County Hospital","Fairfax","SC","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Abbeville Area Medical Center","Abbeville","SC","Government","4","None","None","Same","Above","Same","Above","Same","0","Unknown","Unknown","0","Unknown","Unknown","14548","Average","Lower","24265","Average","Average"
"Fairfield Memorial Hospital","Winnsboro","SC","Unknown","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Williamsburg Regional Hospital","Kingstree","SC","Private","3","None","None","Same","Above","Same","Same","None","0","Unknown","Unknown","16949","Unknown","Unknown","17168","Average","Average","0","Unknown","Unknown"
"Edgefield County Hospital","Edgefield","SC","Government","-1","None","None","None","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","17826","Average","Average","0","Unknown","Unknown"
"Shriners Hospitals For Children","Greenville","SC","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Prairie Lakes Hospital","Watertown","SD","Private","3","Same","Same","Below","Below","Same","Above","Below","23128","Average","Average","16358","Average","Average","15374","Average","Lower","23367","Average","Higher"
"Brookings Health System","Brookings","SD","Government","4","Same","None","Same","Above","Same","Above","Same","0","Unknown","Unknown","13839","Average","Lower","12945","Average","Lower","0","Unknown","Unknown"
"Avera Sacred Heart Hospital","Yankton","SD","Private","3","Same","Above","Above","Same","Above","Above","Same","21992","Average","Average","16430","Average","Average","16143","Average","Lower","21007","Average","Lower"
"Avera Queen Of Peace","Mitchell","SD","Private","4","Same","Above","Above","Same","Same","Above","Same","0","Unknown","Unknown","15567","Average","Average","15182","Average","Lower","19485","Average","Lower"
"Avera St Lukes","Aberdeen","SD","Church","4","Same","Same","Above","Same","Same","Above","Same","23384","Average","Average","16338","Average","Average","17793","Average","Average","22784","Average","Average"
"Avera St Mary's Hospital","Pierre","SD","Private","4","Same","Above","Same","Same","Same","Above","Same","0","Unknown","Unknown","15978","Average","Average","15246","Average","Lower","18649","Average","Lower"
"Avera Mckennan Hospital & University Health Center","Sioux Falls","SD","Private","3","Same","Below","Above","Same","Same","Above","Below","21603","Average","Average","15157","Average","Lower","17076","Average","Average","21558","Average","Average"
"Sanford Usd Medical Center","Sioux Falls","SD","Private","4","Same","Above","Above","Above","Same","Same","Above","23518","Average","Average","18357","Average","Higher","18589","Average","Higher","19476","Average","Lower"
"Regional Health Spearfish Hospital","Spearfish","SD","Private","4","Same","Same","Above","Above","Same","Same","Same","0","Unknown","Unknown","16113","Average","Average","17880","Average","Average","19341","Average","Lower"
"Regional Health Rapid City Hospital","Rapid City","SD","Private","3","Same","Below","Above","Below","Same","Same","Same","24911","Average","Average","16701","Average","Average","17469","Average","Average","23867","Average","Higher"
"Phs Indian Hospital At Rapid City - Sioux San","Rapid City","SD","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Phs Indian Hospital At Eagle Butte","Eagle Butte","SD","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Phs Indian Hospital At Rosebud","Rosebud","SD","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","13543","Average","Lower","0","Unknown","Unknown"
"Dunes Surgical Hospital","Dakota Dunes","SD","Proprietary","5","None","None","Above","Above","Same","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","18352","Average","Lower"
"Sioux Falls Specialty Hospital Llp","Sioux Falls","SD","Proprietary","5","None","None","Above","Above","Same","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","18910","Average","Lower"
"Black Hills Surgical Hospital Llp","Rapid City","SD","Proprietary","-1","None","None","None","Above","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","19395","Average","Lower"
"Same Day Surgery Center Llc","Rapid City","SD","Proprietary","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Avera Heart Hospital Of South Dakota","Sioux Falls","SD","Proprietary","5","Same","Above","Above","Above","Same","Above","Same","24202","Average","Average","18211","Average","Average","0","Unknown","Unknown","0","Unknown","Unknown"
"Sanford Aberdeen Medical Center","Aberdeen","SD","Private","5","Same","Above","Above","Above","Same","Above","Same","25101","Average","Average","15630","Average","Average","15862","Average","Lower","23332","Average","Average"
"Madison Regional Health System","Madison","SD","Private","-1","None","None","Above","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","18730","Average","Average","0","Unknown","Unknown"
"Faulkton Area Medical Center","Faulkton","SD","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Avera Gettysburg Hospital","Gettysburg","SD","Church","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Douglas County Memorial Hospital-cah","Armour","SD","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","16336","Average","Average","0","Unknown","Unknown"
"Platte Health Center - Cah","Platte","SD","Private","-1","None","None","Same","None","None","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","18956","Average","Average","0","Unknown","Unknown"
"Sanford Clear Lake Medical Center","Clear Lake","SD","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","19284","Average","Average","0","Unknown","Unknown"
"Eureka Community Health Services - Cah","Eureka","SD","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Community Memorial Hospital","Burke","SD","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Avera Flandreau Hospital - Cah","Flandreau","SD","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","15032","Average","Average","0","Unknown","Unknown"
"Sanford Hospital Webster - Cah","Webster","SD","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","15175","Average","Average","0","Unknown","Unknown"
"Marshall County Healthcare Center - Cah","Britton","SD","Proprietary","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Freeman Medical Center - Cah","Freeman","SD","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","14334","Average","Lower","0","Unknown","Unknown"
"Bennett County Hospital And Nursing Home - Cah","Martin","SD","Unknown","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Wagner Community Memorial Hospital - Cah","Wagner","SD","Unknown","-1","None","None","Same","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","18071","Average","Average","0","Unknown","Unknown"
"Community Memorial Hospital","Redfield","SD","Government","-1","None","None","Below","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","13588","Average","Lower","0","Unknown","Unknown"
"Landmann-jungman Memorial Hospital - Cah","Scotland","SD","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Bowdle Hospital - Cah","Bowdle","SD","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Hans P Peterson Memorial Hospital - Cah","Philip","SD","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","21471","Average","Higher","0","Unknown","Unknown"
"Regional Health Lead-deadwood Hospital","Deadwood","SD","Private","-1","None","None","None","None","None","Same","Same","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Regional Health Sturgis Hospital","Sturgis","SD","Unknown","4","None","None","Above","None","None","Above","Same","0","Unknown","Unknown","0","Unknown","Unknown","18750","Average","Average","0","Unknown","Unknown"
"Fall River Hospital - Cah","Hot Springs","SD","Government","-1","None","None","Same","None","None","None","Same","0","Unknown","Unknown","0","Unknown","Unknown","22397","Average","Higher","0","Unknown","Unknown"
"Regional Health Custer Hospital","Custer","SD","Private","-1","None","None","None","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","15636","Average","Average","0","Unknown","Unknown"
"Avera Weskota Memorial Medical Center - Cah","Wessington Springs","SD","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","15887","Average","Average","0","Unknown","Unknown"
"Mobridge Regional Hospital - Cah","Mobridge","SD","Private","-1","Same","None","Same","None","None","None","None","0","Unknown","Unknown","18316","Average","Average","15230","Average","Lower","0","Unknown","Unknown"
"Milbank Area Hospital/avera Health","Milbank","SD","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","18664","Average","Average","0","Unknown","Unknown"
"St Michael's Hospital - Cah","Tyndall","SD","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","21514","Average","Higher","0","Unknown","Unknown"
"Pioneer Memorial Hospital - Cah","Viborg","SD","Private","-1","None","None","None","None","Same","None","None","0","Unknown","Unknown","0","Unknown","Unknown","15086","Average","Average","0","Unknown","Unknown"
"Sanford Chamberlain Medical Center","Chamberlain","SD","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","14412","Average","Lower","0","Unknown","Unknown"
"Avera St Benedict Health Center - Cah","Parkston","SD","Private","3","None","None","Below","None","Same","Above","None","0","Unknown","Unknown","19586","Average","Higher","18820","Average","Average","0","Unknown","Unknown"
"Avera Dells Area Hospital  - Cah","Dell Rapids","SD","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","18131","Average","Average","0","Unknown","Unknown"
"Avera De Smet Memorial Hospital - Cah","De Smet","SD","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Sanford Canton-inwood Medical Center - Cah","Canton","SD","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","16588","Average","Average","0","Unknown","Unknown"
"Winner Regional Healthcare Center - Cah","Winner","SD","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","16822","Average","Average","0","Unknown","Unknown"
"Huron Regional Medical Center","Huron","SD","Private","2","Same","None","Below","Same","None","None","Same","0","Unknown","Unknown","15144","Average","Average","14567","Average","Lower","19917","Average","Average"
"Sanford Vermillion Hospital","Vermillion","SD","Private","-1","None","None","Same","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","15814","Average","Average","0","Unknown","Unknown"
"Avera Hand County Memorial Hospital And Clinic","Miller","SD","Private","-1","Same","None","Same","None","None","None","None","0","Unknown","Unknown","17408","Average","Average","18099","Average","Average","0","Unknown","Unknown"
"Avera Gregory Hospital","Gregory","SD","Private","5","Same","None","Same","Above","None","None","None","0","Unknown","Unknown","15967","Average","Average","17588","Average","Average","0","Unknown","Unknown"
"Coteau Des Prairies Health Care System","Sisseton","SD","Private","3","None","None","Same","None","Same","Same","None","0","Unknown","Unknown","15844","Average","Average","14135","Average","Lower","0","Unknown","Unknown"
"Lifescape","Sioux Falls","SD","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Unicoi County  Hospital","Erwin","TN","Private","3","Same","None","Below","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","15576","Average","Average","0","Unknown","Unknown"
"Jackson-madison County General Hospital","Jackson","TN","Government","1","Below","Below","Below","Above","Same","Same","Same","23694","Average","Average","16951","Worse","Average","18616","Worse","Higher","24661","Average","Higher"
"Sumner Regional Medical Center","Gallatin","TN","Proprietary","2","Same","Above","Below","Same","Above","Above","Same","24819","Average","Average","16505","Average","Average","18106","Worse","Average","18998","Average","Lower"
"Tristar Skyline Medical Center","Nashville","TN","Private","2","Below","Same","Below","Below","Same","Same","Same","22873","Average","Average","15893","Average","Average","19504","Average","Higher","19931","Average","Lower"
"Unity Medical Center","Manchester","TN","Unknown","4","Same","None","Same","Same","Below","Above","Same","0","Unknown","Unknown","15865","Average","Average","15798","Average","Lower","0","Unknown","Unknown"
"Henderson County Community Hospital","Lexington","TN","Proprietary","3","Same","None","Same","None","Same","Above","Same","0","Unknown","Unknown","15541","Average","Average","15364","Average","Lower","0","Unknown","Unknown"
"Cumberland Medical Center","Crossville","TN","Private","3","Same","Above","Below","Same","Same","Below","Below","24120","Average","Average","15739","Average","Average","17047","Average","Average","20033","Average","Lower"
"Wayne Medical Center","Waynesboro","TN","Unknown","3","Same","None","Same","None","Same","Above","Same","0","Unknown","Unknown","14847","Average","Average","13662","Average","Lower","0","Unknown","Unknown"
"Blount Memorial Hospital","Maryville","TN","Government","2","Same","Below","Below","Below","Same","Same","Above","20861","Average","Lower","15485","Average","Lower","17474","Average","Average","19706","Average","Lower"
"Bristol Regional Medical Center","Bristol","TN","Government","1","Same","Below","Below","Same","Below","Same","Same","22841","Average","Average","16251","Average","Average","16838","Average","Average","21772","Average","Average"
"University Of Tn Medical Center (the)","Knoxville","TN","Private","2","Same","Below","Above","Above","Same","Below","Same","23796","Average","Average","17327","Average","Average","18741","Average","Higher","18881","Average","Lower"
"Baptist Memorial Hospital Huntingdon","Huntingdon","TN","Private","4","Same","None","Above","None","Same","Above","Same","0","Unknown","Unknown","17068","Average","Average","17614","Average","Average","0","Unknown","Unknown"
"Holston Valley Medical Center","Kingsport","TN","Private","2","Same","Below","Below","Same","Same","Below","Below","20214","Average","Lower","16568","Average","Average","18334","Average","Higher","19097","Average","Lower"
"Sycamore Shoals Hospital","Elizabethton","TN","Private","3","Same","Same","Below","Same","Same","Above","Same","23185","Average","Average","16778","Average","Average","18316","Average","Average","25076","Average","Higher"
"Southern Tennessee Regional Health System Pulaski","Pulaski","TN","Proprietary","4","Same","None","Same","Same","Same","Above","Same","0","Unknown","Unknown","15446","Average","Average","17400","Average","Average","0","Unknown","Unknown"
"Laughlin Memorial Hospital, Inc","Greeneville","TN","Private","2","Below","Same","Below","Same","Same","Above","Same","22487","Average","Average","15370","Average","Average","17002","Worse","Average","19279","Average","Lower"
"Williamson Medical Center","Franklin","TN","Government","5","Same","Above","Above","Above","Same","Above","Same","23353","Average","Average","16211","Average","Average","16148","Average","Lower","21335","Average","Lower"
"Morristown Hamblen Hospital Association","Morristown","TN","Government","2","Same","Above","Below","Same","Same","Below","Same","21298","Average","Lower","15670","Average","Average","17532","Average","Average","21984","Average","Average"
"Roane Medical Center","Harriman","TN","Government","2","Same","Below","Below","Same","Same","Same","Same","0","Unknown","Unknown","14862","Average","Lower","16851","Average","Average","0","Unknown","Unknown"
"Hawkins County Memorial Hospital","Rogersville","TN","Private","3","Same","None","Same","Same","Same","Above","Same","0","Unknown","Unknown","16293","Average","Average","17317","Average","Average","0","Unknown","Unknown"
"Tennova Healthcare-lafollett Medical Center","La Follette","TN","Church","2","Same","Same","Below","Below","Same","Same","Same","0","Unknown","Unknown","15798","Average","Average","16584","Average","Average","0","Unknown","Unknown"
"Methodist Medical Center Of Oak Ridge","Oak Ridge","TN","Private","1","Same","Below","Below","Above","Same","Same","Above","23006","Average","Average","16120","Average","Average","16983","Average","Average","20133","Average","Lower"
"Tennova Healthcare-clarksville","Clarksville","TN","Government","2","Below","Above","Above","Below","Same","Same","Same","24225","Average","Average","17042","Average","Average","18458","Worse","Higher","19179","Average","Lower"
"Vanderbilt University Medical Center","Nashville","TN","Private","3","Same","Above","Below","Above","Same","Below","Above","23510","Average","Average","17227","Average","Average","17738","Average","Average","21278","Average","Average"
"Perry Community Hospital","Linden","TN","Proprietary","3","Same","None","Below","None","Below","Above","None","0","Unknown","Unknown","14110","Average","Lower","13430","Average","Lower","0","Unknown","Unknown"
"Tristar Horizon Medical Center","Dickson","TN","Proprietary","3","Same","Above","Below","Same","Above","Above","Above","24667","Average","Average","16065","Average","Average","17677","Average","Average","26325","Average","Higher"
"Baptist Memorial Hospital","Memphis","TN","Private","1","Above","Below","Below","Below","Above","Above","Above","24251","Average","Average","18092","Average","Higher","17801","Better","Average","18615","Average","Lower"
"Methodist Healthcare Memphis Hospitals","Memphis","TN","Church","2","Same","Below","Below","Same","Below","Below","Above","23882","Average","Average","17003","Average","Average","17935","Average","Average","19591","Average","Lower"
"Takoma Regional Hospital","Greeneville","TN","Private","2","Same","Below","Below","Same","Same","Same","Same","0","Unknown","Unknown","15671","Average","Average","15639","Average","Lower","22815","Average","Average"
"Saint Thomas Rutherford Hospital","Murfreesboro","TN","Church","1","Below","Below","Below","Above","Same","Same","Above","23290","Average","Average","15530","Average","Lower","16273","Worse","Lower","18180","Better","Lower"
"Tennova Healthcare-jefferson Memorial Hospital","Jefferson City","TN","Proprietary","3","Same","None","Below","Same","Same","Above","Same","0","Unknown","Unknown","15996","Average","Average","18182","Average","Average","0","Unknown","Unknown"
"Claiborne Medical Center","Tazewell","TN","Government","2","Same","None","Below","Same","Below","Same","Same","0","Unknown","Unknown","16145","Average","Average","16417","Average","Average","0","Unknown","Unknown"
"Southern Tennessee Regional Hlth System Winchester","Winchester","TN","Proprietary","3","Same","Same","Above","Below","Below","Above","Same","24006","Average","Average","15890","Average","Average","15438","Average","Lower","21404","Average","Average"
"Cookeville Regional Medical Center","Cookeville","TN","Government","4","Same","Above","Above","Below","Same","Below","Same","22401","Average","Lower","15375","Average","Lower","16601","Average","Lower","23146","Average","Higher"
"Milan General Hospital","Milan","TN","Government","4","Same","None","Above","None","Same","Above","Same","0","Unknown","Unknown","16675","Average","Average","16776","Worse","Average","0","Unknown","Unknown"
"West Tennessee Healthcare Volunteer Hospital","Martin","TN","Proprietary","4","Same","None","Above","Same","Same","Above","Same","24863","Average","Average","18615","Average","Higher","17512","Average","Average","0","Unknown","Unknown"
"Johnson City Medical Center","Johnson City","TN","Private","1","Below","Below","Below","Below","Same","Same","Same","22981","Average","Average","17984","Average","Higher","17729","Worse","Average","19395","Average","Lower"
"Northcrest Medical Center","Springfield","TN","Unknown","1","Below","Below","Below","Same","Same","Above","Same","23198","Average","Average","17087","Average","Average","17237","Worse","Average","23397","Average","Average"
"Lakeway Regional Hospital","Morristown","TN","Proprietary","3","Same","Same","Above","Same","Same","Above","None","22994","Average","Average","15670","Average","Average","17156","Average","Average","21545","Average","Average"
"Starr Regional Medical Center Athens","Athens","TN","Proprietary","2","Below","None","Above","Same","Same","Same","Same","0","Unknown","Unknown","14954","Average","Average","16998","Worse","Average","0","Unknown","Unknown"
"Decatur County General Hospital","Parsons","TN","Government","3","Same","None","Same","None","Same","Same","None","0","Unknown","Unknown","16818","Average","Average","17040","Average","Average","0","Unknown","Unknown"
"West Tennessee Healthcare Dyersburg Hospital","Dyersburg","TN","Proprietary","1","Same","Same","Below","Below","Above","Above","Above","25325","Average","Average","16654","Average","Average","17775","Average","Average","0","Unknown","Unknown"
"Maury Regional Hospital","Columbia","TN","Government","3","Below","Above","Below","Above","Same","Same","Same","22092","Average","Average","16436","Average","Average","18614","Worse","Higher","21377","Average","Average"
"Leconte Medical Center","Sevierville","TN","Unknown","2","Same","Below","Below","Same","Same","Below","Same","23240","Average","Average","15734","Average","Average","19301","Average","Higher","20361","Average","Average"
"Saint Thomas West Hospital","Nashville","TN","Church","4","Same","Above","Above","Above","Below","Above","Above","24272","Average","Average","17253","Average","Average","17784","Average","Average","18562","Average","Lower"
"Jamestown Regional Medical Center","Jamestown","TN","Proprietary","4","Same","None","Above","Same","Same","Same","Below","0","Unknown","Unknown","14593","Average","Lower","15100","Average","Lower","0","Unknown","Unknown"
"Sweetwater Hospital Association","Sweetwater","TN","Private","3","Same","Same","Below","Same","Below","Same","Same","0","Unknown","Unknown","15363","Average","Average","16109","Average","Lower","0","Unknown","Unknown"
"Memorial Healthcare System, Inc","Chattanooga","TN","Church","4","Same","Below","Above","Above","Same","Below","Below","24892","Average","Average","16516","Average","Average","17973","Average","Average","19351","Average","Lower"
"Lincoln Medical Center","Fayetteville","TN","Government","4","Same","Same","Above","Same","Same","Above","Same","0","Unknown","Unknown","15718","Average","Average","17923","Average","Average","23898","Average","Average"
"Erlanger Medical Center","Chattanooga","TN","Government","2","Below","Same","Above","Below","Same","Below","Same","24546","Worse","Average","17371","Average","Average","19013","Worse","Higher","19902","Average","Lower"
"Hardin Medical Center","Savannah","TN","Government","3","Same","None","Below","Same","Same","Same","Above","0","Unknown","Unknown","15454","Average","Average","16279","Average","Lower","0","Unknown","Unknown"
"Fort Loudon Medical Center","Lenoir City","TN","Unknown","3","Same","Below","Above","Same","Same","Same","Same","0","Unknown","Unknown","14689","Average","Lower","16292","Average","Average","0","Unknown","Unknown"
"Metro Nashville General Hospital","Nashville","TN","Government","2","None","Same","None","Below","Same","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Tennova Healthcare","Knoxville","TN","Proprietary","2","Below","Same","Below","Below","Below","Below","Above","23834","Worse","Average","18289","Worse","Higher","17463","Average","Average","19309","Average","Lower"
"Fort Sanders Regional Medical Center","Knoxville","TN","Private","2","Below","Below","Above","Same","Below","Below","Same","22430","Average","Average","16767","Average","Average","17187","Average","Average","18758","Average","Lower"
"Baptist Memorial Hospital Union City","Union City","TN","Private","2","Same","Above","Below","Same","Same","Above","Same","0","Unknown","Unknown","19180","Average","Higher","18061","Average","Average","24784","Average","Higher"
"Baptist Memorial Hospital Tipton","Covington","TN","Church","3","Same","None","Same","Same","Same","Above","Same","0","Unknown","Unknown","15712","Average","Average","17206","Average","Average","0","Unknown","Unknown"
