"Geography","IsActiveMember","RNumOfProducts","TARGET","CreditScoreR","AgeR","TenureR","BalanceR","EstimatedSalaryR"
"Germany","No","Más de un producto","Si","Medio-Bajo","De 51 a 65 años","Más de 7,5","Más de 120001","Alto"
"France","Si","Más de un producto","No","Medio-Alto","De 31 a 40 años","Hasta 2,5","Más de 120001","Medio-Bajo"
"Germany","Si","Un producto","No","Medio-Bajo","De 31 a 40 años","Hasta 2,5","De 80001 a 120000","Medio-Bajo"
"France","No","Más de un producto","Si","Medio-Alto","De 41 a 50 años","Más de 7,5","Más de 120001","Muy Alto"
"France","No","Más de un producto","No","Medio-Bajo","De 41 a 50 años","Hasta 2,5","Hasta 80000","Medio-Alto"
"France","No","Un producto","No","Alto","De 31 a 40 años","De 5,1 a 7,5","Más de 120001","Alto"
"France","No","Un producto","Si","Medio-Bajo","De 51 a 65 años","De 2,6 a 5,0","De 80001 a 120000","Bajo"
"Spain","No","Más de un producto","No","Medio-Alto","De 31 a 40 años","Más de 7,5","Hasta 80000","Alto"
"France","No","Más de un producto","No","Medio-Alto","De 41 a 50 años","De 5,1 a 7,5","De 80001 a 120000","Medio-Bajo"
"Spain","No","Un producto","No","Alto","De 31 a 40 años","De 2,6 a 5,0","De 80001 a 120000","Bajo"
"Germany","Si","Un producto","Si","Alto","De 31 a 40 años","Más de 7,5","Más de 120001","Medio-Alto"
"Spain","No","Más de un producto","No","Alto","De 31 a 40 años","Más de 7,5","Más de 120001","Bajo"
"Germany","Si","Más de un producto","No","Alto","De 31 a 40 años","De 5,1 a 7,5","De 80001 a 120000","Muy Alto"
"Germany","No","Un producto","No","Alto","De 41 a 50 años","Hasta 2,5","De 80001 a 120000","Bajo"
"Spain","No","Un producto","Si","Medio-Alto","Hasta 30 años","Hasta 2,5","Hasta 80000","Bajo"
"France","Si","Más de un producto","Si","Medio-Bajo","De 41 a 50 años","Hasta 2,5","Más de 120001","Muy Alto"
"France","Si","Más de un producto","No","Medio-Alto","Hasta 30 años","De 5,1 a 7,5","Hasta 80000","Medio-Alto"
"France","Si","Más de un producto","No","Medio-Alto","De 31 a 40 años","Hasta 2,5","Hasta 80000","Medio-Bajo"
"France","Si","Un producto","No","Medio-Bajo","De 31 a 40 años","Más de 7,5","Más de 120001","Medio-Alto"
"Germany","Si","Un producto","No","Medio-Alto","Hasta 30 años","De 2,6 a 5,0","Hasta 80000","Alto"
"France","Si","Un producto","No","Medio-Bajo","De 31 a 40 años","Hasta 2,5","Más de 120001","Alto"
"Spain","Si","Un producto","No","Medio-Bajo","De 31 a 40 años","De 2,6 a 5,0","Más de 120001","Bajo"
"France","No","Un producto","No","Medio-Alto","De 31 a 40 años","De 2,6 a 5,0","Más de 120001","Medio-Bajo"
"Spain","Si","Un producto","No","Bajo","De 31 a 40 años","De 5,1 a 7,5","Hasta 80000","Bajo"
"France","No","Más de un producto","No","Medio-Alto","De 41 a 50 años","De 5,1 a 7,5","Hasta 80000","Alto"
"Spain","No","Un producto","Si","Medio-Alto","Más de 65años","De 5,1 a 7,5","Hasta 80000","Alto"
"Germany","No","Un producto","Si","Medio-Bajo","De 41 a 50 años","Más de 7,5","De 80001 a 120000","Medio-Bajo"
"France","No","Un producto","No","Medio-Bajo","De 31 a 40 años","De 5,1 a 7,5","De 80001 a 120000","Alto"
"France","Si","Más de un producto","No","Medio-Bajo","De 31 a 40 años","De 2,6 a 5,0","De 80001 a 120000","Medio-Alto"
"Spain","No","Más de un producto","Si","Medio-Alto","De 41 a 50 años","De 5,1 a 7,5","Hasta 80000","Medio-Bajo"
"France","Si","Más de un producto","No","Medio-Alto","Más de 65años","De 2,6 a 5,0","Hasta 80000","Muy Alto"
"France","No","Más de un producto","No","Bajo","De 31 a 40 años","De 5,1 a 7,5","Hasta 80000","Alto"
"Germany","Si","Más de un producto","No","Medio-Alto","De 31 a 40 años","Hasta 2,5","De 80001 a 120000","Medio-Bajo"
"France","Si","Más de un producto","No","Medio-Bajo","De 31 a 40 años","De 2,6 a 5,0","Hasta 80000","Muy Alto"
"Germany","Si","Un producto","Si","Medio-Bajo","De 31 a 40 años","De 2,6 a 5,0","De 80001 a 120000","Muy Alto"
"Spain","No","Más de un producto","Si","Medio-Alto","De 51 a 65 años","Hasta 2,5","Hasta 80000","Medio-Bajo"
"France","Si","Más de un producto","No","Medio-Alto","Hasta 30 años","De 5,1 a 7,5","Hasta 80000","Muy Alto"
"Spain","Si","Más de un producto","No","Medio-Alto","Hasta 30 años","De 5,1 a 7,5","Hasta 80000","Medio-Bajo"
"Germany","No","Un producto","No","Medio-Alto","De 31 a 40 años","Más de 7,5","Más de 120001","Bajo"
"Germany","No","Un producto","No","Medio-Bajo","De 31 a 40 años","De 5,1 a 7,5","Más de 120001","Alto"
"Spain","No","Un producto","Si","Alto","De 51 a 65 años","Hasta 2,5","Más de 120001","Bajo"
"France","Si","Un producto","No","Alto","De 31 a 40 años","Hasta 2,5","Hasta 80000","Medio-Bajo"
"France","No","Un producto","Si","Medio-Bajo","De 31 a 40 años","Hasta 2,5","Más de 120001","Muy Alto"
"Germany","Si","Un producto","No","Alto","De 31 a 40 años","Hasta 2,5","Hasta 80000","Bajo"
"France","Si","Más de un producto","Si","Alto","De 41 a 50 años","De 2,6 a 5,0","Más de 120001","Alto"
"Germany","No","Un producto","Si","Medio-Bajo","De 51 a 65 años","Más de 7,5","De 80001 a 120000","Bajo"
"Spain","Si","Un producto","No","Medio-Alto","De 31 a 40 años","De 5,1 a 7,5","De 80001 a 120000","Alto"
"France","Si","Un producto","No","Alto","De 41 a 50 años","De 5,1 a 7,5","Más de 120001","Medio-Bajo"
"France","Si","Un producto","No","Alto","De 51 a 65 años","Hasta 2,5","De 80001 a 120000","Bajo"
"Spain","Si","Un producto","No","Medio-Alto","De 31 a 40 años","De 2,6 a 5,0","De 80001 a 120000","Medio-Bajo"
"France","Si","Más de un producto","No","Medio-Alto","De 41 a 50 años","Hasta 2,5","Hasta 80000","Medio-Bajo"
"Spain","Si","Un producto","No","Bajo","De 31 a 40 años","De 2,6 a 5,0","Hasta 80000","Bajo"
"France","No","Más de un producto","No","Alto","De 31 a 40 años","De 5,1 a 7,5","Hasta 80000","Medio-Bajo"
"Spain","No","Un producto","Si","Alto","De 51 a 65 años","Más de 7,5","Más de 120001","Bajo"
"Germany","No","Un producto","No","Medio-Bajo","De 31 a 40 años","Más de 7,5","De 80001 a 120000","Alto"
"Germany","Si","Un producto","No","Medio-Alto","Hasta 30 años","De 5,1 a 7,5","Más de 120001","Medio-Alto"
"Germany","No","Un producto","Si","Medio-Alto","De 31 a 40 años","De 5,1 a 7,5","De 80001 a 120000","Medio-Bajo"
"Germany","Si","Un producto","No","Medio-Alto","De 51 a 65 años","Hasta 2,5","Más de 120001","Medio-Bajo"
"Germany","Si","Más de un producto","No","Medio-Bajo","De 41 a 50 años","De 5,1 a 7,5","Más de 120001","Alto"
"France","Si","Un producto","No","Medio-Alto","Más de 65años","Hasta 2,5","Más de 120001","Muy Alto"
"Spain","Si","Un producto","No","Medio-Alto","De 31 a 40 años","De 5,1 a 7,5","De 80001 a 120000","Alto"
"France","Si","Más de un producto","No","Medio-Alto","De 31 a 40 años","De 5,1 a 7,5","De 80001 a 120000","Medio-Alto"
"France","No","Más de un producto","No","Medio-Alto","De 41 a 50 años","Más de 7,5","Hasta 80000","Alto"
"France","Si","Un producto","No","Medio-Bajo","De 31 a 40 años","Hasta 2,5","Más de 120001","Medio-Bajo"
"Germany","Si","Más de un producto","No","Alto","De 31 a 40 años","Hasta 2,5","De 80001 a 120000","Medio-Bajo"
"France","Si","Más de un producto","No","Medio-Alto","De 31 a 40 años","De 2,6 a 5,0","De 80001 a 120000","Medio-Bajo"
"Germany","No","Un producto","No","Medio-Bajo","De 31 a 40 años","Hasta 2,5","De 80001 a 120000","Medio-Bajo"
"France","Si","Más de un producto","No","Alto","De 51 a 65 años","De 5,1 a 7,5","Hasta 80000","Medio-Alto"
"France","Si","Un producto","Si","Medio-Alto","De 51 a 65 años","Más de 7,5","De 80001 a 120000","Medio-Alto"
"Spain","No","Más de un producto","Si","Medio-Bajo","De 41 a 50 años","De 5,1 a 7,5","Más de 120001","Medio-Bajo"
"France","Si","Un producto","No","Medio-Alto","De 31 a 40 años","De 2,6 a 5,0","De 80001 a 120000","Muy Alto"
"Spain","No","Más de un producto","No","Medio-Alto","De 31 a 40 años","De 2,6 a 5,0","De 80001 a 120000","Medio-Bajo"
"France","Si","Más de un producto","No","Medio-Alto","Hasta 30 años","De 2,6 a 5,0","Hasta 80000","Medio-Bajo"
"France","Si","Más de un producto","No","Medio-Alto","De 41 a 50 años","De 2,6 a 5,0","Hasta 80000","Medio-Bajo"
"Spain","Si","Un producto","No","Medio-Alto","De 31 a 40 años","De 2,6 a 5,0","Más de 120001","Bajo"
"France","No","Un producto","No","Medio-Bajo","Hasta 30 años","De 2,6 a 5,0","De 80001 a 120000","Alto"
"Spain","No","Un producto","No","Medio-Alto","De 31 a 40 años","De 5,1 a 7,5","Hasta 80000","Muy Alto"
"France","No","Más de un producto","No","Medio-Bajo","De 31 a 40 años","De 2,6 a 5,0","Hasta 80000","Bajo"
"Spain","No","Un producto","Si","Medio-Bajo","De 31 a 40 años","De 2,6 a 5,0","Hasta 80000","Medio-Alto"
"Spain","No","Más de un producto","No","Alto","De 31 a 40 años","De 2,6 a 5,0","Hasta 80000","Bajo"
"France","No","Un producto","No","Medio-Alto","De 31 a 40 años","Hasta 2,5","De 80001 a 120000","Medio-Bajo"
"Germany","No","Más de un producto","No","Medio-Alto","De 31 a 40 años","Hasta 2,5","Más de 120001","Bajo"
"Germany","Si","Un producto","No","Medio-Alto","De 31 a 40 años","De 5,1 a 7,5","Más de 120001","Alto"
"Germany","No","Un producto","No","Medio-Alto","De 31 a 40 años","Más de 7,5","Más de 120001","Medio-Alto"
"Germany","Si","Un producto","No","Medio-Alto","De 41 a 50 años","De 2,6 a 5,0","Más de 120001","Bajo"
"France","Si","Un producto","No","Medio-Alto","Hasta 30 años","Más de 7,5","Hasta 80000","Muy Alto"
"France","Si","Un producto","No","Medio-Alto","De 51 a 65 años","De 5,1 a 7,5","Más de 120001","Medio-Bajo"
"Germany","No","Un producto","No","Medio-Alto","De 41 a 50 años","Hasta 2,5","Más de 120001","Medio-Alto"
"Germany","Si","Un producto","No","Alto","De 31 a 40 años","Hasta 2,5","Más de 120001","Alto"
"France","Si","Un producto","No","Medio-Bajo","Más de 65años","De 5,1 a 7,5","De 80001 a 120000","Bajo"
"France","No","Más de un producto","No","Medio-Alto","De 41 a 50 años","Hasta 2,5","Hasta 80000","Bajo"
"Germany","Si","Más de un producto","No","Medio-Alto","De 51 a 65 años","Más de 7,5","Más de 120001","Medio-Alto"
"France","Si","Un producto","No","Medio-Alto","Hasta 30 años","De 5,1 a 7,5","De 80001 a 120000","Bajo"
"France","Si","Más de un producto","No","Alto","De 31 a 40 años","Hasta 2,5","Hasta 80000","Medio-Bajo"
"France","Si","Más de un producto","No","Alto","Hasta 30 años","Más de 7,5","Hasta 80000","Muy Alto"
"Spain","Si","Un producto","Si","Medio-Alto","De 51 a 65 años","De 5,1 a 7,5","Más de 120001","Alto"
"Spain","No","Un producto","No","Medio-Bajo","Hasta 30 años","De 5,1 a 7,5","Más de 120001","Medio-Alto"
"France","Si","Más de un producto","Si","Medio-Alto","De 41 a 50 años","De 5,1 a 7,5","Hasta 80000","Alto"
"France","Si","Más de un producto","No","Medio-Alto","De 31 a 40 años","Hasta 2,5","Hasta 80000","Bajo"
"France","Si","Más de un producto","No","Medio-Alto","De 41 a 50 años","Hasta 2,5","Hasta 80000","Medio-Bajo"
"France","Si","Un producto","No","Medio-Alto","De 31 a 40 años","De 2,6 a 5,0","De 80001 a 120000","Medio-Bajo"
"France","No","Más de un producto","Si","Medio-Bajo","De 31 a 40 años","Hasta 2,5","Hasta 80000","Medio-Alto"
"Germany","Si","Más de un producto","No","Medio-Bajo","De 31 a 40 años","De 5,1 a 7,5","Más de 120001","Alto"
"Germany","No","Un producto","Si","Alto","De 51 a 65 años","Hasta 2,5","Más de 120001","Bajo"
"Germany","No","Un producto","Si","Alto","De 51 a 65 años","De 2,6 a 5,0","Más de 120001","Medio-Bajo"
"Spain","No","Más de un producto","No","Medio-Alto","De 31 a 40 años","Hasta 2,5","Hasta 80000","Bajo"
"Germany","Si","Más de un producto","No","Bajo","De 31 a 40 años","De 2,6 a 5,0","Más de 120001","Medio-Alto"
"Germany","Si","Más de un producto","No","Alto","De 31 a 40 años","Hasta 2,5","Más de 120001","Bajo"
"France","Si","Un producto","No","Medio-Bajo","De 31 a 40 años","Más de 7,5","Hasta 80000","Medio-Alto"
"France","No","Un producto","Si","Medio-Alto","De 31 a 40 años","Hasta 2,5","De 80001 a 120000","Alto"
"Spain","No","Más de un producto","No","Alto","Hasta 30 años","Más de 7,5","Hasta 80000","Bajo"
"France","No","Más de un producto","Si","Medio-Alto","De 31 a 40 años","Más de 7,5","Hasta 80000","Alto"
"Spain","No","Más de un producto","No","Alto","De 31 a 40 años","Hasta 2,5","Hasta 80000","Medio-Bajo"
"France","No","Un producto","No","Medio-Bajo","De 41 a 50 años","De 5,1 a 7,5","De 80001 a 120000","Medio-Alto"
"Spain","No","Un producto","Si","Medio-Alto","De 41 a 50 años","De 2,6 a 5,0","Más de 120001","Muy Alto"
"Germany","No","Un producto","Si","Alto","De 51 a 65 años","Hasta 2,5","Más de 120001","Alto"
"France","No","Un producto","No","Medio-Bajo","De 31 a 40 años","De 2,6 a 5,0","Hasta 80000","Bajo"
"France","No","Un producto","No","Bajo","De 31 a 40 años","Más de 7,5","Más de 120001","Alto"
"Spain","Si","Un producto","No","Alto","De 51 a 65 años","De 2,6 a 5,0","Más de 120001","Medio-Alto"
"Germany","No","Más de un producto","No","Alto","De 41 a 50 años","De 5,1 a 7,5","Más de 120001","Medio-Bajo"
"Spain","No","Más de un producto","No","Medio-Alto","De 41 a 50 años","Hasta 2,5","Más de 120001","Medio-Alto"
"France","Si","Más de un producto","No","Medio-Alto","Hasta 30 años","De 5,1 a 7,5","Hasta 80000","Bajo"
"France","Si","Un producto","No","Medio-Alto","De 41 a 50 años","De 2,6 a 5,0","Hasta 80000","Medio-Alto"
"France","No","Más de un producto","No","Medio-Alto","Hasta 30 años","De 5,1 a 7,5","Hasta 80000","Alto"
"France","No","Un producto","Si","Medio-Alto","De 31 a 40 años","Más de 7,5","De 80001 a 120000","Medio-Alto"
"Germany","Si","Un producto","Si","Medio-Alto","De 51 a 65 años","Más de 7,5","Más de 120001","Alto"
"Spain","Si","Un producto","Si","Medio-Bajo","De 41 a 50 años","Hasta 2,5","Más de 120001","Bajo"
"France","No","Más de un producto","No","Medio-Alto","De 31 a 40 años","De 2,6 a 5,0","Hasta 80000","Muy Alto"
"Spain","No","Más de un producto","Si","Alto","De 51 a 65 años","De 5,1 a 7,5","De 80001 a 120000","Bajo"
"France","Si","Más de un producto","No","Medio-Bajo","Hasta 30 años","De 2,6 a 5,0","Hasta 80000","Medio-Bajo"
"France","Si","Más de un producto","No","Medio-Alto","De 31 a 40 años","De 5,1 a 7,5","Hasta 80000","Medio-Alto"
"France","No","Más de un producto","No","Alto","Hasta 30 años","Hasta 2,5","Hasta 80000","Muy Alto"
"France","Si","Un producto","No","Medio-Alto","De 41 a 50 años","De 2,6 a 5,0","De 80001 a 120000","Bajo"
"France","No","Más de un producto","No","Alto","Hasta 30 años","De 5,1 a 7,5","Hasta 80000","Medio-Alto"
"Spain","No","Más de un producto","No","Medio-Bajo","De 41 a 50 años","De 5,1 a 7,5","Hasta 80000","Bajo"
"Spain","No","Más de un producto","No","Bajo","Hasta 30 años","Hasta 2,5","Hasta 80000","Medio-Alto"
"Germany","Si","Más de un producto","No","Medio-Alto","De 41 a 50 años","De 5,1 a 7,5","Hasta 80000","Alto"
"Spain","No","Más de un producto","No","Medio-Alto","Hasta 30 años","De 5,1 a 7,5","Más de 120001","Alto"
"Spain","No","Más de un producto","No","Medio-Alto","De 31 a 40 años","De 2,6 a 5,0","Hasta 80000","Alto"
"France","No","Más de un producto","No","Alto","De 31 a 40 años","De 2,6 a 5,0","Hasta 80000","Bajo"
"France","Si","Más de un producto","Si","Medio-Bajo","Hasta 30 años","De 2,6 a 5,0","Más de 120001","Muy Alto"
"Germany","No","Un producto","No","Alto","Hasta 30 años","Hasta 2,5","De 80001 a 120000","Bajo"
"Spain","No","Más de un producto","No","Medio-Bajo","De 31 a 40 años","De 2,6 a 5,0","Hasta 80000","Medio-Bajo"
"France","No","Más de un producto","No","Medio-Bajo","De 31 a 40 años","Más de 7,5","Más de 120001","Alto"
"Spain","Si","Más de un producto","No","Medio-Alto","Hasta 30 años","De 5,1 a 7,5","Más de 120001","Alto"
"France","Si","Un producto","Si","Medio-Bajo","De 41 a 50 años","De 5,1 a 7,5","Hasta 80000","Alto"
"France","No","Más de un producto","No","Medio-Alto","De 31 a 40 años","De 2,6 a 5,0","Más de 120001","Bajo"
"Spain","Si","Un producto","No","Medio-Alto","De 51 a 65 años","De 5,1 a 7,5","Hasta 80000","Medio-Alto"
"France","No","Un producto","Si","Medio-Alto","De 31 a 40 años","De 2,6 a 5,0","Hasta 80000","Muy Alto"
"France","Si","Un producto","No","Medio-Alto","Más de 65años","De 5,1 a 7,5","Hasta 80000","Medio-Bajo"
"France","Si","Más de un producto","No","Medio-Alto","De 31 a 40 años","De 2,6 a 5,0","De 80001 a 120000","Bajo"
"France","No","Un producto","No","Medio-Alto","De 31 a 40 años","De 2,6 a 5,0","Más de 120001","Medio-Alto"
"Spain","Si","Un producto","Si","Medio-Bajo","De 31 a 40 años","Más de 7,5","Más de 120001","Medio-Bajo"
"Spain","Si","Más de un producto","No","Medio-Bajo","De 31 a 40 años","Más de 7,5","Hasta 80000","Medio-Alto"
"Spain","No","Más de un producto","No","Medio-Alto","De 41 a 50 años","Más de 7,5","Hasta 80000","Muy Alto"
"Germany","No","Un producto","No","Alto","De 31 a 40 años","De 2,6 a 5,0","Más de 120001","Muy Alto"
"Spain","Si","Más de un producto","No","Medio-Alto","Hasta 30 años","De 2,6 a 5,0","Más de 120001","Medio-Alto"
"France","Si","Más de un producto","No","Medio-Alto","De 31 a 40 años","De 2,6 a 5,0","Hasta 80000","Alto"
"France","No","Más de un producto","No","Alto","Hasta 30 años","Más de 7,5","Más de 120001","Medio-Bajo"
"Spain","Si","Más de un producto","No","Medio-Alto","De 31 a 40 años","Más de 7,5","De 80001 a 120000","Bajo"
"Germany","Si","Más de un producto","No","Medio-Alto","De 31 a 40 años","De 5,1 a 7,5","Más de 120001","Muy Alto"
"Germany","Si","Un producto","Si","Medio-Alto","De 31 a 40 años","Hasta 2,5","De 80001 a 120000","Medio-Bajo"
"France","Si","Más de un producto","No","Medio-Alto","Más de 65años","De 5,1 a 7,5","De 80001 a 120000","Medio-Bajo"
"France","Si","Un producto","No","Medio-Alto","Hasta 30 años","De 5,1 a 7,5","Más de 120001","Alto"
"France","Si","Un producto","No","Medio-Alto","De 31 a 40 años","Hasta 2,5","De 80001 a 120000","Medio-Bajo"
"France","Si","Más de un producto","No","Medio-Bajo","De 31 a 40 años","Más de 7,5","Hasta 80000","Muy Alto"
"France","Si","Un producto","No","Medio-Bajo","De 31 a 40 años","Hasta 2,5","Hasta 80000","Medio-Bajo"
"Germany","Si","Un producto","No","Medio-Bajo","De 41 a 50 años","De 5,1 a 7,5","De 80001 a 120000","Medio-Alto"
"Germany","Si","Un producto","Si","Medio-Alto","Hasta 30 años","Más de 7,5","Más de 120001","Medio-Bajo"
"Spain","No","Más de un producto","No","Medio-Alto","Hasta 30 años","De 5,1 a 7,5","Más de 120001","Medio-Alto"
"Spain","No","Más de un producto","Si","Alto","De 31 a 40 años","De 5,1 a 7,5","Más de 120001","Medio-Bajo"
"France","Si","Más de un producto","No","Medio-Alto","De 41 a 50 años","De 5,1 a 7,5","Hasta 80000","Alto"
"France","No","Más de un producto","No","Medio-Alto","De 31 a 40 años","De 2,6 a 5,0","Hasta 80000","Medio-Alto"
"Germany","Si","Un producto","No","Medio-Alto","De 31 a 40 años","Hasta 2,5","Más de 120001","Medio-Alto"
"France","No","Un producto","No","Medio-Alto","De 41 a 50 años","Más de 7,5","Más de 120001","Medio-Bajo"
"France","Si","Un producto","No","Alto","Hasta 30 años","Más de 7,5","Más de 120001","Alto"
"Spain","No","Más de un producto","No","Medio-Alto","De 31 a 40 años","De 2,6 a 5,0","Hasta 80000","Muy Alto"
"Spain","No","Un producto","No","Medio-Bajo","Hasta 30 años","De 2,6 a 5,0","Más de 120001","Medio-Alto"
"France","No","Un producto","No","Bajo","De 31 a 40 años","De 2,6 a 5,0","Hasta 80000","Medio-Alto"
"Spain","Si","Más de un producto","No","Medio-Bajo","Más de 65años","De 5,1 a 7,5","Hasta 80000","Alto"
"France","No","Un producto","No","Medio-Bajo","Hasta 30 años","De 5,1 a 7,5","De 80001 a 120000","Bajo"
"France","Si","Un producto","No","Medio-Bajo","Hasta 30 años","Más de 7,5","Hasta 80000","Muy Alto"
"Germany","No","Un producto","Si","Medio-Alto","De 41 a 50 años","De 5,1 a 7,5","Más de 120001","Medio-Bajo"
"Spain","No","Más de un producto","Si","Medio-Alto","De 51 a 65 años","De 2,6 a 5,0","De 80001 a 120000","Muy Alto"
"Germany","No","Un producto","Si","Medio-Bajo","De 41 a 50 años","De 2,6 a 5,0","De 80001 a 120000","Muy Alto"
"Germany","Si","Un producto","Si","Bajo","De 31 a 40 años","Hasta 2,5","De 80001 a 120000","Alto"
"France","No","Un producto","No","Medio-Alto","De 31 a 40 años","De 5,1 a 7,5","Más de 120001","Medio-Alto"
"Germany","Si","Un producto","Si","Alto","De 31 a 40 años","Hasta 2,5","De 80001 a 120000","Muy Alto"
"France","No","Más de un producto","No","Medio-Alto","De 31 a 40 años","Más de 7,5","Más de 120001","Muy Alto"
"Spain","No","Más de un producto","No","Medio-Alto","De 31 a 40 años","De 5,1 a 7,5","Más de 120001","Medio-Bajo"
"Spain","No","Un producto","Si","Alto","De 51 a 65 años","De 5,1 a 7,5","De 80001 a 120000","Alto"
"France","Si","Más de un producto","No","Alto","De 31 a 40 años","Hasta 2,5","Hasta 80000","Alto"
"France","Si","Un producto","No","Medio-Bajo","De 31 a 40 años","Más de 7,5","Más de 120001","Medio-Alto"
"Spain","Si","Más de un producto","No","Medio-Bajo","De 51 a 65 años","De 2,6 a 5,0","Hasta 80000","Muy Alto"
"France","No","Más de un producto","No","Medio-Alto","Hasta 30 años","De 2,6 a 5,0","Hasta 80000","Bajo"
"France","Si","Un producto","No","Medio-Alto","De 31 a 40 años","Hasta 2,5","Más de 120001","Medio-Bajo"
"Germany","Si","Más de un producto","No","Alto","De 41 a 50 años","Más de 7,5","De 80001 a 120000","Alto"
"Spain","No","Más de un producto","No","Medio-Alto","De 31 a 40 años","De 2,6 a 5,0","Hasta 80000","Muy Alto"
"Germany","No","Un producto","No","Medio-Alto","Hasta 30 años","De 5,1 a 7,5","De 80001 a 120000","Medio-Alto"
"France","Si","Más de un producto","No","Medio-Alto","De 31 a 40 años","De 5,1 a 7,5","Hasta 80000","Medio-Bajo"
"Germany","Si","Un producto","No","Alto","De 31 a 40 años","De 2,6 a 5,0","Más de 120001","Medio-Bajo"
"Germany","Si","Más de un producto","No","Alto","De 41 a 50 años","Hasta 2,5","De 80001 a 120000","Medio-Bajo"
"France","No","Más de un producto","No","Alto","Hasta 30 años","De 5,1 a 7,5","Hasta 80000","Muy Alto"
"France","Si","Más de un producto","No","Medio-Bajo","De 31 a 40 años","Más de 7,5","Hasta 80000","Bajo"
"Germany","No","Un producto","No","Alto","De 31 a 40 años","De 2,6 a 5,0","Más de 120001","Medio-Alto"
"France","No","Más de un producto","No","Medio-Alto","De 31 a 40 años","De 2,6 a 5,0","Hasta 80000","Bajo"
"Germany","No","Más de un producto","No","Alto","De 31 a 40 años","De 2,6 a 5,0","De 80001 a 120000","Bajo"
"Germany","Si","Un producto","No","Alto","De 31 a 40 años","Más de 7,5","Más de 120001","Muy Alto"
"Spain","Si","Un producto","No","Medio-Alto","De 31 a 40 años","Hasta 2,5","Hasta 80000","Alto"
"France","Si","Un producto","No","Medio-Alto","Hasta 30 años","De 5,1 a 7,5","De 80001 a 120000","Bajo"
"Germany","No","Más de un producto","No","Medio-Alto","De 31 a 40 años","Hasta 2,5","Más de 120001","Medio-Alto"
"Germany","No","Un producto","Si","Medio-Bajo","De 31 a 40 años","Hasta 2,5","Más de 120001","Alto"
"Germany","No","Un producto","Si","Medio-Bajo","De 31 a 40 años","De 2,6 a 5,0","Más de 120001","Medio-Bajo"
"France","No","Un producto","Si","Medio-Alto","De 41 a 50 años","De 2,6 a 5,0","Hasta 80000","Bajo"
"Spain","No","Un producto","No","Medio-Alto","De 31 a 40 años","Más de 7,5","Más de 120001","Muy Alto"
"Spain","Si","Más de un producto","No","Medio-Bajo","De 31 a 40 años","Más de 7,5","De 80001 a 120000","Alto"
"Spain","No","Un producto","No","Medio-Alto","De 41 a 50 años","De 5,1 a 7,5","De 80001 a 120000","Medio-Bajo"
"France","No","Más de un producto","No","Medio-Alto","De 31 a 40 años","Hasta 2,5","Más de 120001","Muy Alto"
"France","No","Más de un producto","No","Medio-Alto","De 31 a 40 años","De 2,6 a 5,0","Hasta 80000","Medio-Bajo"
"Germany","Si","Más de un producto","No","Medio-Alto","De 31 a 40 años","Hasta 2,5","Más de 120001","Medio-Bajo"
"Germany","Si","Un producto","Si","Alto","De 31 a 40 años","Hasta 2,5","Más de 120001","Bajo"
"Spain","No","Más de un producto","No","Medio-Alto","De 31 a 40 años","Hasta 2,5","Hasta 80000","Muy Alto"
"Spain","No","Más de un producto","Si","Medio-Alto","De 41 a 50 años","De 2,6 a 5,0","Más de 120001","Muy Alto"
"Germany","No","Un producto","Si","Medio-Alto","De 51 a 65 años","De 5,1 a 7,5","De 80001 a 120000","Bajo"
"France","Si","Un producto","No","Medio-Alto","Hasta 30 años","Más de 7,5","Hasta 80000","Bajo"
"France","No","Más de un producto","No","Medio-Bajo","De 31 a 40 años","De 2,6 a 5,0","De 80001 a 120000","Alto"
"France","No","Más de un producto","No","Bajo","Hasta 30 años","De 5,1 a 7,5","Hasta 80000","Medio-Bajo"
"Spain","No","Un producto","No","Medio-Alto","De 41 a 50 años","De 5,1 a 7,5","Más de 120001","Medio-Alto"
"France","Si","Más de un producto","No","Medio-Alto","De 51 a 65 años","De 2,6 a 5,0","Hasta 80000","Bajo"
"Spain","No","Más de un producto","No","Medio-Alto","De 31 a 40 años","De 2,6 a 5,0","Hasta 80000","Alto"
"France","No","Un producto","No","Medio-Alto","Hasta 30 años","Hasta 2,5","De 80001 a 120000","Medio-Bajo"
"France","Si","Más de un producto","No","Alto","Hasta 30 años","De 2,6 a 5,0","Hasta 80000","Muy Alto"
"France","No","Un producto","Si","Medio-Bajo","De 41 a 50 años","De 2,6 a 5,0","Hasta 80000","Medio-Alto"
"France","Si","Un producto","No","Medio-Alto","De 31 a 40 años","De 2,6 a 5,0","De 80001 a 120000","Medio-Bajo"
"Germany","Si","Más de un producto","No","Medio-Alto","Hasta 30 años","Más de 7,5","Más de 120001","Medio-Alto"
"Spain","No","Un producto","Si","Medio-Alto","De 31 a 40 años","De 5,1 a 7,5","Más de 120001","Medio-Bajo"
"France","Si","Más de un producto","No","Medio-Alto","De 31 a 40 años","Hasta 2,5","Más de 120001","Medio-Bajo"
"Spain","Si","Más de un producto","No","Medio-Alto","De 31 a 40 años","De 2,6 a 5,0","Más de 120001","Bajo"
"France","No","Más de un producto","No","Medio-Alto","Hasta 30 años","Más de 7,5","Hasta 80000","Medio-Alto"
